crop_type,soil_type,crop_growth_stage,season,region,soil_moisture,temperature,humidity,rainfall_mm,area_hectares,previous_irrigation_mm,irrigation_type,water_source,mulching_used,water_required_mm,irrigation_need,data_source
Cotton,Sandy,Vegetative,Rabi,East,34.76,40.42,42.88,1634.93,9.72,70.97,Sprinkler,Rainwater,No,61.13,Medium,real
Maize,Sandy,Vegetative,Rabi,Central,53.56,17.46,61.52,2096.68,7.02,72.66,Canal,Groundwater,Yes,29.48,Low,real
Maize,Sandy,Flowering,Kharif,West,36.12,29.54,85.56,138.43,13.28,116.75,Rainfed,Reservoir,Yes,151.4,Medium,real
Cotton,Silty,Harvest,Zaid,North,47.7,35.94,61.95,1706.55,13.49,11.24,Sprinkler,River,Yes,4.06,Low,real
Maize,Clay,Flowering,Kharif,West,21.75,39.01,74.65,1536.57,14.03,10.5,Rainfed,Reservoir,No,11.98,Medium,real
Maize,Sandy,Sowing,Kharif,West,53.38,15.36,35.81,516.58,2.3,68.48,Rainfed,Groundwater,No,27.44,Low,real
Maize,Silty,Harvest,Kharif,East,12.8,40.29,29.22,1509.02,2.93,106.57,Drip,Groundwater,Yes,72.49,Medium,real
Maize,Clay,Flowering,Zaid,North,37.92,22.55,42.9,2170.48,14.25,113.22,Rainfed,Groundwater,No,67.59,Low,real
Cotton,Loamy,Harvest,Rabi,West,19.91,37.84,36.77,48.09,12.01,42.36,Canal,Groundwater,No,54.73,High,real
Maize,Clay,Vegetative,Rabi,Central,11.82,32.05,67.35,1261.47,8.66,33.22,Rainfed,Reservoir,Yes,30.05,Medium,real
Maize,Silty,Sowing,Rabi,West,36.67,40.81,58.92,2455.93,12.82,4.56,Sprinkler,River,No,2.7,Low,real
Cotton,Sandy,Vegetative,Kharif,North,48.29,38.64,60.81,458.53,7.43,1.13,Drip,Reservoir,Yes,0.63,Low,real
Cotton,Loamy,Sowing,Rabi,North,50.45,30.95,54.33,1177.06,10.69,101.72,Canal,Rainwater,No,48.82,Low,real
Rice,Silty,Vegetative,Kharif,East,44.01,16.85,27.6,1271.77,7.54,29.33,Canal,River,No,18.56,Medium,real
Maize,Silty,Sowing,Rabi,North,40.89,31.46,72.65,216.89,2.23,59.77,Drip,Groundwater,No,59.39,Medium,real
Maize,Loamy,Vegetative,Rabi,Central,32.03,16.45,92.35,2404.97,5.68,97.55,Drip,Rainwater,Yes,47.88,Low,real
Cotton,Clay,Harvest,Kharif,South,18.99,41.61,28.2,1029.36,14.36,103.86,Drip,Rainwater,No,70.65,Medium,real
Cotton,Clay,Flowering,Zaid,Central,59.63,24.02,87.33,1035.46,14.36,82.19,Rainfed,Reservoir,No,57.37,Medium,real
Cotton,Clay,Vegetative,Rabi,North,25.58,40.07,81.92,1721.35,0.45,68.83,Rainfed,Groundwater,No,64.01,Medium,real
Maize,Sandy,Flowering,Rabi,West,58.29,21.5,56.12,1034.95,3.32,44.04,Canal,River,No,30.4,Medium,real
Maize,Silty,Harvest,Zaid,Central,55.23,27.87,60.04,27.2,1.56,59.39,Canal,River,Yes,27.86,Low,real
Maize,Sandy,Flowering,Kharif,South,34.13,40.56,77.56,260.78,3.97,39.85,Canal,Groundwater,No,52.64,Medium,real
Rice,Clay,Harvest,Zaid,East,36.46,27.27,58.32,501.05,8.49,56.06,Canal,River,Yes,21.24,Low,real
Cotton,Silty,Flowering,Rabi,East,40.32,24.32,29.76,869.66,0.95,76.3,Drip,Rainwater,No,45.38,Low,real
Cotton,Loamy,Sowing,Zaid,West,41.51,20.91,56.12,1648.18,14.94,67.17,Canal,River,Yes,31.8,Low,real
Rice,Silty,Harvest,Kharif,Central,26.87,28.82,27.11,135.74,3.81,67.51,Rainfed,Groundwater,Yes,38.46,Low,real
Rice,Loamy,Flowering,Kharif,West,28.37,18.46,30.88,1516.52,6.32,74.02,Rainfed,Reservoir,No,65.63,Medium,real
Maize,Silty,Sowing,Kharif,Central,62.89,32.21,48.98,5.13,11.47,13.82,Drip,Rainwater,Yes,12.86,Medium,real
Rice,Loamy,Flowering,Kharif,Central,12.03,37.24,26.31,1863.04,9.5,66.81,Drip,Reservoir,No,76.04,Medium,real
Maize,Sandy,Vegetative,Rabi,South,24.23,40.38,66.99,472.51,11.26,13.16,Rainfed,Rainwater,No,16.95,High,real
Cotton,Loamy,Harvest,Zaid,East,25.69,29.52,33.01,1046.79,7.27,96.44,Drip,Groundwater,No,39.91,Low,real
Maize,Clay,Flowering,Rabi,West,11.6,13.51,43.61,1064.99,9.8,26.23,Rainfed,Groundwater,Yes,23.94,Medium,real
Cotton,Silty,Vegetative,Rabi,East,22.35,18.06,55.36,1914.55,10.1,62.84,Rainfed,Rainwater,Yes,48.52,Medium,real
Rice,Clay,Sowing,Zaid,Central,18.15,17.13,50.12,454.46,6.31,3.94,Canal,Groundwater,Yes,2.3,Low,real
Maize,Silty,Flowering,Rabi,North,26.34,39.85,27.32,2276.54,4.78,58.86,Canal,Rainwater,Yes,45.64,Low,real
Maize,Loamy,Vegetative,Zaid,Central,53.87,34.89,62.43,1920.55,9.46,82.36,Drip,Reservoir,Yes,39.59,Low,real
Maize,Clay,Sowing,Zaid,East,42.26,22.78,54.16,1947.1,7.82,107.17,Canal,River,Yes,51.37,Low,real
Rice,Loamy,Sowing,Zaid,West,11.19,20.22,60.37,856.0,5.32,39.19,Sprinkler,Reservoir,Yes,22.07,Low,real
Maize,Sandy,Sowing,Kharif,North,44.08,22.63,37.54,2414.31,12.67,106.7,Drip,Groundwater,No,50.2,Low,real
Maize,Sandy,Sowing,Rabi,Central,22.81,12.72,80.73,2074.97,10.5,100.96,Sprinkler,Reservoir,No,52.58,Low,real
Rice,Clay,Harvest,Kharif,South,18.84,18.69,60.03,320.35,2.67,67.88,Canal,River,Yes,31.86,Low,real
Rice,Clay,Harvest,Zaid,South,42.98,40.46,81.13,1298.39,10.24,57.46,Drip,Groundwater,No,22.52,Low,real
Rice,Sandy,Vegetative,Kharif,Central,22.17,21.39,54.4,603.53,4.42,24.0,Sprinkler,River,No,19.22,Medium,real
Maize,Sandy,Vegetative,Kharif,North,25.14,12.44,76.86,232.89,4.59,17.02,Sprinkler,Rainwater,Yes,16.16,Medium,real
Cotton,Loamy,Vegetative,Kharif,North,42.97,31.82,56.74,696.27,2.99,35.77,Rainfed,Groundwater,No,26.58,Medium,real
Maize,Clay,Flowering,Zaid,East,61.91,18.97,30.59,343.57,6.16,7.53,Drip,Rainwater,No,4.04,Low,real
Rice,Sandy,Flowering,Kharif,West,46.46,29.0,61.17,64.11,2.11,32.89,Canal,Reservoir,No,40.68,Medium,real
Maize,Clay,Sowing,Kharif,Central,52.63,16.52,85.6,2469.41,10.6,34.58,Sprinkler,Groundwater,No,14.02,Low,real
Cotton,Clay,Harvest,Rabi,North,28.91,41.52,84.88,2078.86,0.36,72.0,Canal,Rainwater,Yes,31.93,Low,real
Rice,Silty,Flowering,Kharif,South,23.52,41.11,65.25,1847.37,0.82,101.6,Rainfed,Reservoir,Yes,115.27,Medium,real
Maize,Loamy,Harvest,Zaid,West,33.89,31.68,51.6,482.53,11.96,74.48,Rainfed,Rainwater,No,30.66,Low,real
Rice,Loamy,Harvest,Rabi,North,34.01,24.78,46.8,1213.01,12.44,44.92,Rainfed,Reservoir,No,16.56,Low,real
Cotton,Silty,Vegetative,Rabi,West,56.26,40.87,94.29,1854.24,0.57,3.65,Sprinkler,Groundwater,Yes,1.79,Low,real
Maize,Silty,Flowering,Kharif,South,64.36,24.71,75.85,2407.09,2.63,6.24,Rainfed,Rainwater,No,2.91,Low,real
Rice,Loamy,Harvest,Kharif,North,12.11,19.18,75.23,2109.71,7.48,113.18,Rainfed,Rainwater,Yes,44.13,Low,real
Maize,Silty,Harvest,Kharif,West,10.59,15.46,78.28,2233.76,6.22,23.32,Drip,Rainwater,Yes,8.73,Low,real
Rice,Loamy,Flowering,Rabi,South,57.63,31.63,56.08,346.45,2.44,112.22,Sprinkler,River,No,102.0,Medium,real
Rice,Loamy,Vegetative,Zaid,Central,9.32,23.47,85.96,1996.21,2.95,61.75,Rainfed,River,Yes,51.38,Medium,real
Maize,Loamy,Harvest,Rabi,West,18.53,28.75,83.82,768.36,5.06,17.67,Sprinkler,Groundwater,Yes,7.59,Low,real
Cotton,Clay,Sowing,Zaid,Central,19.04,35.04,86.13,530.12,12.46,108.05,Canal,Reservoir,Yes,100.47,Medium,real
Rice,Silty,Harvest,Rabi,South,20.71,25.01,27.91,1040.37,7.26,68.82,Sprinkler,Groundwater,Yes,28.34,Low,real
Cotton,Clay,Harvest,Rabi,Central,10.31,20.34,84.53,845.57,8.8,5.63,Sprinkler,Rainwater,No,2.22,Low,real
Rice,Silty,Vegetative,Kharif,Central,42.66,39.36,93.32,2163.57,5.15,59.03,Drip,Groundwater,No,47.1,Medium,real
Cotton,Clay,Vegetative,Rabi,South,29.2,35.61,55.02,1080.03,5.82,99.13,Drip,Rainwater,Yes,86.1,Medium,real
Cotton,Clay,Sowing,Kharif,South,53.94,12.66,47.67,1025.11,13.97,61.76,Drip,River,Yes,24.29,Low,real
Cotton,Loamy,Vegetative,Kharif,North,53.43,32.88,48.15,2175.12,11.59,31.99,Rainfed,Reservoir,Yes,15.16,Low,real
Rice,Silty,Vegetative,Kharif,North,62.32,19.82,71.85,724.79,4.9,113.79,Rainfed,Rainwater,No,61.49,Medium,real
Maize,Loamy,Vegetative,Kharif,North,11.42,12.04,57.89,4.53,5.33,23.34,Rainfed,Reservoir,Yes,35.39,High,real
Cotton,Clay,Flowering,Kharif,North,30.31,20.64,90.92,1712.76,9.98,117.01,Rainfed,Reservoir,No,104.48,Medium,real
Rice,Sandy,Harvest,Kharif,Central,16.35,18.58,55.01,2457.91,4.97,107.17,Rainfed,Reservoir,No,59.32,Medium,real
Maize,Silty,Flowering,Rabi,East,57.46,22.0,33.72,1798.12,7.31,93.45,Rainfed,Reservoir,Yes,45.8,Low,real
Cotton,Sandy,Harvest,Zaid,Central,24.2,15.84,65.47,831.77,4.33,34.39,Drip,River,Yes,12.52,Low,real
Rice,Loamy,Vegetative,Kharif,Central,20.58,38.94,59.55,121.77,4.76,118.43,Canal,River,No,208.6,High,real
Maize,Sandy,Sowing,Kharif,East,10.7,14.64,53.53,1834.46,11.36,79.9,Sprinkler,River,Yes,42.53,Low,real
Cotton,Silty,Flowering,Kharif,West,55.49,36.66,82.08,1789.63,14.96,81.6,Drip,River,No,67.17,Medium,real
Rice,Loamy,Sowing,Zaid,South,28.88,17.76,48.26,805.09,9.55,108.14,Canal,Groundwater,No,55.28,Low,real
Maize,Loamy,Vegetative,Zaid,West,51.01,15.23,75.71,295.03,13.26,88.34,Sprinkler,Groundwater,No,63.38,Medium,real
Cotton,Silty,Harvest,Rabi,East,63.65,38.13,88.62,325.51,14.8,29.41,Canal,Rainwater,Yes,11.02,Low,real
Cotton,Loamy,Sowing,Rabi,North,54.59,24.71,85.14,946.77,3.97,18.18,Rainfed,Reservoir,No,7.87,Low,real
Rice,Silty,Flowering,Kharif,North,32.17,24.22,93.25,687.47,11.93,110.81,Canal,Rainwater,Yes,70.73,Low,real
Rice,Sandy,Flowering,Zaid,South,21.0,14.11,42.35,1114.33,12.28,15.02,Drip,River,Yes,13.6,Medium,real
Maize,Silty,Harvest,Zaid,East,11.99,33.38,58.67,1228.33,14.07,22.98,Rainfed,Groundwater,Yes,14.73,Medium,real
Rice,Sandy,Vegetative,Zaid,South,38.52,16.52,57.06,2103.23,11.07,91.89,Drip,Rainwater,Yes,42.66,Low,real
Rice,Silty,Flowering,Rabi,South,64.45,39.81,29.34,2047.45,4.92,55.56,Drip,Reservoir,No,42.57,Medium,real
Maize,Clay,Sowing,Rabi,West,50.07,24.53,62.23,5.87,10.02,1.46,Rainfed,Groundwater,No,1.45,Medium,real
Cotton,Sandy,Flowering,Rabi,East,26.66,14.46,72.08,1034.8,8.18,58.84,Canal,Groundwater,No,50.95,Medium,real
Cotton,Clay,Harvest,Zaid,East,24.05,21.63,81.88,122.24,8.38,34.98,Rainfed,Groundwater,No,27.37,Medium,real
Rice,Clay,Flowering,Zaid,North,14.74,17.17,38.58,2105.05,10.97,31.59,Sprinkler,River,No,29.52,Medium,real
Maize,Silty,Flowering,Kharif,Central,55.68,38.35,34.98,513.14,2.92,42.0,Sprinkler,Reservoir,Yes,24.82,Low,real
Cotton,Silty,Sowing,Zaid,East,24.26,21.13,74.85,2406.45,8.35,31.07,Sprinkler,Rainwater,No,17.09,Low,real
Maize,Sandy,Vegetative,Kharif,South,42.52,37.26,44.41,1391.81,14.25,116.47,Rainfed,Rainwater,Yes,91.34,Medium,real
Cotton,Clay,Vegetative,Kharif,North,21.83,27.71,53.1,871.97,14.9,42.43,Drip,Reservoir,No,36.31,Medium,real
Maize,Loamy,Sowing,Zaid,East,21.31,31.16,31.76,1250.37,8.56,73.52,Drip,River,No,65.29,Medium,real
Cotton,Silty,Harvest,Rabi,North,30.06,16.59,49.04,96.81,5.37,108.5,Sprinkler,Reservoir,Yes,54.63,Low,real
Maize,Silty,Sowing,Zaid,East,55.52,40.17,71.11,1813.77,6.32,96.81,Rainfed,Groundwater,No,47.86,Low,real
Cotton,Clay,Sowing,Rabi,East,29.75,35.88,94.69,1831.46,7.65,10.22,Rainfed,River,Yes,6.2,Low,real
Rice,Sandy,Harvest,Kharif,North,54.98,19.63,58.28,1547.08,1.26,37.25,Sprinkler,Rainwater,No,10.67,Low,real
Cotton,Sandy,Sowing,Rabi,North,27.0,29.4,40.05,2102.05,8.88,65.38,Drip,Groundwater,No,38.2,Low,real
Rice,Loamy,Flowering,Kharif,East,33.09,23.29,40.15,507.95,5.95,42.07,Canal,Reservoir,No,38.37,Medium,real
Cotton,Loamy,Harvest,Kharif,South,12.01,41.81,78.7,1146.64,3.75,63.76,Canal,Rainwater,No,43.37,Medium,real
Cotton,Sandy,Flowering,Kharif,South,40.7,40.58,37.09,2208.86,1.51,79.29,Rainfed,River,No,77.74,Medium,real
Cotton,Silty,Flowering,Zaid,South,36.95,14.17,74.96,1226.57,4.77,48.94,Rainfed,Rainwater,No,38.84,Medium,real
Rice,Silty,Vegetative,Zaid,East,37.77,20.06,54.25,812.82,3.53,95.14,Canal,Reservoir,Yes,46.18,Low,real
Cotton,Loamy,Vegetative,Kharif,North,11.69,37.02,59.26,1120.05,13.05,20.05,Sprinkler,River,Yes,18.98,Medium,real
Cotton,Clay,Vegetative,Zaid,West,14.45,20.82,46.97,1204.76,6.52,90.4,Canal,Rainwater,Yes,73.19,Medium,real
Maize,Sandy,Sowing,Kharif,West,54.89,39.04,77.06,571.34,4.25,72.97,Drip,River,Yes,36.01,Low,real
Rice,Sandy,Flowering,Rabi,West,41.83,26.46,49.74,630.23,6.7,66.09,Canal,Reservoir,No,39.6,Low,real
Cotton,Silty,Vegetative,Rabi,West,52.85,40.88,50.16,2439.18,13.55,31.4,Rainfed,Rainwater,No,22.8,Medium,real
Cotton,Sandy,Sowing,Kharif,East,59.58,17.76,79.73,287.55,14.45,9.27,Sprinkler,Reservoir,No,4.4,Low,real
Cotton,Sandy,Harvest,Zaid,North,44.47,34.8,26.57,195.17,4.01,34.85,Sprinkler,River,No,24.59,Medium,real
Maize,Silty,Flowering,Kharif,Central,20.93,39.84,46.15,1740.15,4.68,102.74,Canal,River,Yes,118.78,Medium,real
Cotton,Clay,Harvest,Rabi,North,20.49,26.66,56.65,1750.59,0.32,95.23,Rainfed,Rainwater,Yes,39.93,Low,real
Maize,Clay,Vegetative,Kharif,South,57.17,41.83,67.05,2224.78,5.1,67.87,Rainfed,Reservoir,Yes,32.97,Low,real
Rice,Sandy,Sowing,Kharif,West,55.57,17.57,60.72,911.66,12.52,89.4,Canal,Reservoir,Yes,35.56,Low,real
Cotton,Clay,Vegetative,Zaid,West,59.96,30.29,29.45,1813.25,7.88,18.9,Drip,Groundwater,No,11.65,Medium,real
Cotton,Silty,Harvest,Rabi,South,26.58,38.51,28.89,1038.99,13.81,15.3,Drip,Groundwater,Yes,6.83,Low,real
Rice,Sandy,Harvest,Kharif,Central,48.4,27.35,72.42,2000.22,4.83,85.85,Canal,Rainwater,No,28.43,Low,real
Rice,Clay,Flowering,Zaid,South,38.74,39.95,78.49,435.76,0.38,22.49,Drip,Groundwater,No,24.49,Medium,real
Rice,Clay,Vegetative,Zaid,Central,56.71,25.19,90.02,802.24,2.6,75.72,Drip,Groundwater,No,32.2,Low,real
Cotton,Silty,Sowing,Zaid,Central,12.63,27.02,77.54,1303.57,13.23,62.82,Rainfed,River,No,54.16,Medium,real
Cotton,Silty,Harvest,Kharif,East,24.72,40.43,70.9,1063.39,12.93,54.01,Drip,Rainwater,No,35.41,Medium,real
Rice,Clay,Flowering,Kharif,South,10.29,18.04,92.01,2472.08,3.49,118.3,Rainfed,Groundwater,No,111.61,Medium,real
Maize,Sandy,Vegetative,Kharif,North,48.88,25.6,40.55,1806.84,12.96,37.92,Sprinkler,Groundwater,Yes,17.55,Low,real
Maize,Sandy,Vegetative,Rabi,North,38.64,21.23,42.51,2485.12,9.24,61.34,Canal,River,No,29.91,Low,real
Rice,Loamy,Flowering,Zaid,North,26.44,17.88,54.99,547.32,5.9,59.4,Canal,Rainwater,Yes,37.22,Low,real
Cotton,Sandy,Flowering,Rabi,East,22.39,18.9,82.21,2410.95,2.26,118.29,Drip,Reservoir,Yes,110.56,Medium,real
Rice,Sandy,Sowing,Kharif,North,23.9,36.19,54.01,1344.41,6.88,112.77,Drip,River,No,102.78,Medium,real
Cotton,Clay,Vegetative,Rabi,North,28.48,15.35,82.9,1433.38,12.41,99.73,Rainfed,Rainwater,No,49.82,Low,real
Maize,Loamy,Harvest,Rabi,Central,8.21,40.84,85.04,176.19,13.45,93.8,Rainfed,Rainwater,No,112.62,High,real
Cotton,Silty,Flowering,Zaid,South,52.56,17.32,66.22,1318.97,9.41,101.13,Sprinkler,Rainwater,No,70.96,Medium,real
Rice,Sandy,Sowing,Zaid,South,47.86,16.51,73.96,2063.33,1.05,30.36,Canal,River,Yes,12.91,Low,real
Maize,Sandy,Vegetative,Rabi,West,15.33,22.75,43.33,1347.17,13.22,54.74,Sprinkler,Groundwater,Yes,45.21,Medium,real
Cotton,Loamy,Flowering,Rabi,Central,59.22,15.34,32.15,1247.38,7.74,88.54,Rainfed,River,No,56.64,Medium,real
Rice,Sandy,Flowering,Kharif,North,21.91,38.4,32.59,2457.31,10.01,111.68,Canal,Reservoir,No,126.53,Medium,real
Rice,Silty,Harvest,Kharif,Central,24.29,25.31,85.95,445.25,5.2,110.62,Drip,Groundwater,No,48.06,Low,real
Rice,Clay,Flowering,Rabi,South,51.27,29.45,70.17,1071.06,6.35,23.2,Rainfed,Rainwater,Yes,13.06,Low,real
Cotton,Sandy,Flowering,Kharif,East,41.95,13.25,53.31,252.22,8.17,83.75,Sprinkler,Reservoir,No,81.3,Medium,real
Cotton,Loamy,Sowing,Zaid,South,20.45,29.71,46.22,1361.72,7.71,11.04,Drip,River,No,6.81,Low,real
Cotton,Sandy,Harvest,Rabi,North,45.12,40.71,55.41,571.25,14.48,58.83,Drip,Groundwater,No,22.6,Low,real
Maize,Clay,Flowering,Rabi,East,53.68,15.98,43.32,224.49,4.11,11.83,Rainfed,River,No,10.58,Medium,real
Maize,Silty,Vegetative,Rabi,West,27.88,25.01,59.63,1911.33,9.18,94.65,Rainfed,Rainwater,No,52.6,Low,real
Maize,Silty,Harvest,Kharif,East,39.42,24.52,82.52,900.38,5.36,95.78,Rainfed,Rainwater,Yes,33.57,Low,real
Maize,Silty,Harvest,Zaid,West,63.93,39.52,56.56,116.72,14.95,29.89,Rainfed,Rainwater,Yes,19.02,Medium,real
Cotton,Silty,Sowing,Rabi,South,24.06,29.47,93.36,1988.62,12.07,11.66,Drip,River,Yes,6.98,Low,real
Rice,Sandy,Vegetative,Zaid,West,33.16,17.3,82.92,1026.6,2.02,42.72,Sprinkler,River,Yes,20.96,Low,real
Rice,Silty,Flowering,Kharif,West,57.78,35.76,44.62,2075.77,5.96,87.67,Canal,Groundwater,No,69.85,Medium,real
Maize,Loamy,Vegetative,Zaid,Central,29.95,25.02,72.45,2174.95,8.63,112.03,Drip,River,Yes,61.21,Low,real
Cotton,Sandy,Vegetative,Rabi,South,14.43,13.28,47.18,532.17,7.68,58.02,Drip,River,Yes,44.12,Medium,real
Cotton,Silty,Vegetative,Zaid,South,24.13,40.82,83.52,149.3,14.04,66.93,Rainfed,Groundwater,No,113.41,High,real
Rice,Sandy,Sowing,Rabi,North,42.3,41.16,84.4,1606.55,5.79,94.55,Drip,Reservoir,Yes,53.28,Low,real
Maize,Sandy,Flowering,Zaid,North,61.01,27.48,51.69,661.04,4.05,12.02,Canal,River,No,8.55,Medium,real
Cotton,Loamy,Sowing,Zaid,South,34.24,21.82,35.48,947.84,13.73,1.83,Drip,Reservoir,Yes,0.93,Low,real
Cotton,Loamy,Flowering,Kharif,South,55.11,27.99,88.83,1575.91,8.15,36.31,Canal,Groundwater,No,27.68,Medium,real
Cotton,Sandy,Sowing,Kharif,North,22.38,24.26,36.91,2129.08,8.3,50.36,Sprinkler,Groundwater,No,41.47,Medium,real
Maize,Sandy,Flowering,Zaid,South,26.45,24.17,52.25,421.51,0.64,2.58,Sprinkler,Reservoir,Yes,1.91,Low,real
Cotton,Loamy,Vegetative,Rabi,East,64.41,35.64,37.46,1142.94,5.64,104.91,Canal,Rainwater,Yes,45.2,Low,real
Maize,Sandy,Harvest,Rabi,East,51.35,31.08,83.41,2101.17,13.5,90.29,Drip,Groundwater,Yes,30.09,Low,real
Cotton,Loamy,Vegetative,Zaid,Central,37.17,37.85,27.9,1374.0,3.36,111.56,Sprinkler,River,No,92.33,Medium,real
Rice,Silty,Harvest,Zaid,East,8.14,22.89,28.94,1523.2,13.05,57.33,Drip,River,No,33.2,Medium,real
Cotton,Sandy,Vegetative,Kharif,West,31.72,38.76,55.01,617.1,3.67,67.5,Rainfed,Groundwater,No,59.04,Medium,real
Rice,Loamy,Flowering,Kharif,Central,32.62,34.58,69.57,248.38,1.17,19.06,Rainfed,Reservoir,Yes,24.55,Medium,real
Cotton,Clay,Flowering,Rabi,South,39.74,15.09,45.73,174.33,6.81,73.18,Drip,Rainwater,No,77.09,Medium,real
Cotton,Sandy,Sowing,Kharif,West,41.16,12.9,76.52,1617.17,0.92,99.81,Drip,River,Yes,44.49,Low,real
Maize,Clay,Sowing,Zaid,Central,56.81,37.1,65.35,2352.45,10.76,29.92,Sprinkler,Reservoir,Yes,14.22,Low,real
Rice,Loamy,Sowing,Kharif,Central,54.84,16.64,58.46,779.64,11.25,34.58,Drip,Reservoir,Yes,13.72,Low,real
Maize,Sandy,Sowing,Kharif,North,40.26,30.2,37.61,837.62,9.9,18.16,Rainfed,Rainwater,No,9.54,Low,real
Maize,Silty,Sowing,Kharif,East,28.58,15.43,92.42,506.16,2.92,36.01,Sprinkler,Rainwater,No,18.34,Low,real
Rice,Silty,Sowing,Zaid,West,43.49,14.32,74.23,1171.28,12.81,65.3,Drip,River,No,28.48,Low,real
Maize,Sandy,Harvest,Zaid,South,21.16,12.75,77.94,1247.37,11.36,71.56,Sprinkler,Rainwater,Yes,26.43,Low,real
Rice,Clay,Harvest,Kharif,East,60.46,15.49,72.55,2328.06,7.41,59.27,Sprinkler,Groundwater,Yes,15.3,Low,real
Cotton,Sandy,Sowing,Zaid,West,40.77,40.28,31.83,1340.38,3.45,11.73,Rainfed,Reservoir,No,6.7,Low,real
Maize,Loamy,Vegetative,Zaid,South,9.3,30.83,72.57,1528.56,11.17,115.53,Drip,Rainwater,Yes,103.31,Medium,real
Maize,Sandy,Flowering,Rabi,West,57.13,29.89,44.25,2213.03,9.71,93.45,Rainfed,Reservoir,No,71.0,Medium,real
Cotton,Silty,Vegetative,Kharif,South,10.09,39.09,38.97,1476.06,11.37,43.19,Drip,Reservoir,No,41.64,Medium,real
Maize,Clay,Flowering,Zaid,West,32.86,21.68,86.82,723.95,14.66,92.53,Rainfed,Groundwater,Yes,57.22,Low,real
Rice,Silty,Harvest,Rabi,East,31.76,19.47,42.9,1778.83,14.96,81.43,Drip,Reservoir,No,28.97,Low,real
Cotton,Sandy,Sowing,Zaid,East,43.52,19.14,72.06,2361.46,3.85,86.65,Canal,Rainwater,Yes,39.52,Low,real
Rice,Loamy,Vegetative,Zaid,East,61.83,24.02,91.42,500.77,3.1,116.04,Rainfed,Reservoir,Yes,47.24,Low,real
Maize,Silty,Flowering,Kharif,East,48.43,33.68,50.67,794.68,6.31,48.72,Canal,River,No,41.95,Medium,real
Rice,Loamy,Harvest,Zaid,North,40.86,30.9,85.99,74.82,14.5,17.46,Sprinkler,Groundwater,Yes,9.4,Low,real
Maize,Clay,Flowering,Zaid,North,48.26,13.94,47.4,2033.77,13.82,85.21,Rainfed,Rainwater,No,60.86,Medium,real
Rice,Sandy,Flowering,Zaid,North,49.24,26.58,55.77,1870.55,6.5,64.06,Sprinkler,Rainwater,Yes,35.8,Low,real
Rice,Loamy,Harvest,Kharif,South,43.57,24.68,67.12,2265.41,12.46,49.34,Sprinkler,River,Yes,16.67,Low,real
Rice,Clay,Harvest,Kharif,East,19.87,24.03,49.3,1483.96,7.4,24.76,Canal,Rainwater,Yes,10.15,Low,real
Maize,Silty,Sowing,Rabi,South,53.25,24.68,94.73,2328.14,12.45,27.83,Canal,River,Yes,12.21,Low,real
Rice,Sandy,Vegetative,Kharif,Central,31.14,26.93,41.77,2468.29,5.74,116.34,Rainfed,Reservoir,Yes,64.13,Low,real
Rice,Loamy,Sowing,Rabi,South,41.92,29.02,71.34,844.02,5.61,92.08,Canal,Groundwater,Yes,47.1,Low,real
Rice,Clay,Harvest,Kharif,East,39.23,38.45,73.33,2241.04,2.55,31.71,Sprinkler,River,No,12.69,Low,real
Cotton,Silty,Harvest,Zaid,West,60.82,35.07,26.55,1888.23,9.72,111.52,Canal,River,No,34.87,Low,real
Rice,Sandy,Vegetative,Zaid,West,38.55,13.57,45.08,1812.84,3.52,108.45,Drip,Groundwater,Yes,49.5,Low,real
Maize,Silty,Flowering,Zaid,Central,10.4,24.53,87.28,56.42,6.66,49.32,Canal,River,No,95.81,High,real
Maize,Silty,Harvest,Kharif,North,11.96,22.83,71.89,1736.98,11.29,38.14,Rainfed,Groundwater,No,15.45,Low,real
Rice,Silty,Sowing,Kharif,Central,8.42,40.74,43.61,696.71,11.33,45.52,Rainfed,River,No,44.23,Medium,real
Maize,Clay,Sowing,Rabi,South,60.05,25.7,60.54,146.3,3.6,69.29,Canal,Groundwater,Yes,39.65,Low,real
Rice,Sandy,Vegetative,Kharif,South,56.19,16.53,63.14,1176.53,12.19,36.45,Drip,Rainwater,No,20.34,Medium,real
Maize,Clay,Flowering,Kharif,Central,42.73,13.64,58.02,1538.95,10.55,9.22,Sprinkler,Reservoir,Yes,4.86,Low,real
Rice,Clay,Sowing,Kharif,East,55.53,15.5,69.54,27.86,9.2,27.3,Sprinkler,River,Yes,16.03,Low,real
Rice,Sandy,Flowering,Zaid,Central,17.45,41.75,93.0,808.3,8.88,21.04,Sprinkler,Groundwater,Yes,24.53,Medium,real
Maize,Clay,Sowing,Rabi,South,18.92,32.74,62.19,1205.71,2.53,18.24,Sprinkler,Groundwater,No,16.61,Medium,real
Maize,Silty,Vegetative,Zaid,West,23.26,34.59,36.03,1424.52,10.67,81.69,Sprinkler,Rainwater,No,95.88,High,real
Cotton,Silty,Flowering,Rabi,South,13.19,22.36,69.28,970.4,12.98,69.41,Canal,River,No,68.52,Medium,real
Maize,Sandy,Flowering,Kharif,South,16.39,30.42,64.71,673.72,8.44,36.72,Sprinkler,River,No,51.03,High,real
Rice,Loamy,Vegetative,Rabi,East,37.0,14.39,80.86,383.86,10.81,44.52,Drip,Rainwater,Yes,23.58,Low,real
